,Names,Websites,Hourly Rates,Employees,Cities,Countries
0,Cubix,https://www.cubix.co/aff/app/?camp=g,$25 - $49/hr,50 - 249,Karachi,Pakistan 
1,Hashe Computer Solutions,https://www.hashe.com,$25 - $49/hr,10 - 49,Lahore,Pakistan 
2,Avaib,http://www.avaib.com,$25 - $49/hr,10 - 49,Karachi,Pakistan 
3,Focusteck,https://www.focusteck.com,$25 - $49/hr,10 - 49,Lahore,Pakistan 
4,Clustox,http://clustox.com/,< $25/hr,10 - 49,Lahore,Pakistan 
5,RevnoSoft,https://www.revnosoft.com,$25 - $49/hr,50 - 249,Wah,Pakistan 
6,Dynamic Online Technologies (SMC-PVT) Ltd,https://dynamiconlinetechnologies.com,$25 - $49/hr,10 - 49,Lahore,Pakistan 
7,Salactsol,http://www.salactsol.com,$50 - $99/hr,10 - 49,Karachi,Pakistan 
8,Dream Beyond,http://letsdreambeyond.com,$25 - $49/hr,10 - 49,Karachi,Pakistan 
9,Dotklick,https://dotklick.com/,NA,10 - 49,Karachi,Pakistan 
10,Techtics,http://www.etechtics.com/,< $25/hr,10 - 49,Lahore,Pakistan 
11,Datalatics,https://datalatics.com/,$25 - $49/hr,10 - 49,Lahore,Pakistan 
12,Zak Technology Services,http://zakts.com/,$25 - $49/hr,10 - 49,Islamabad,Pakistan 
13,Smart Coders (SMC) Private Limited,https://smartcoders.co.uk,< $25/hr,10 - 49,Rawalpindi,Pakistan 
14,harfsol technologies,https://www.harfsol.com/,< $25/hr,2 - 9,Rawalpindi,Pakistan 
15,CodeJunkie,https://www.codejunkie.co/,$25 - $49/hr,10 - 49,Islamabad,Pakistan 
16,Imroz,https://imroz.io,NA,10 - 49,Lahore,Pakistan 
17,SEO XOOM,https://www.seoxoom.com,< $25/hr,10 - 49,Islamabad,Pakistan 
18,Brand Republic,https://www.brandrepublic.com.pk/,< $25/hr,10 - 49,Karachi,Pakistan 
19,Phaedra Solutions,https://www.phaedrasolutions.com,$25 - $49/hr,10 - 49,Lahore,Pakistan 
20,ArhamSoft,https://www.arhamsoft.com,$25 - $49/hr,50 - 249,Lahore,Pakistan 
21,Novatore Solutions,http://novatoresols.com/,$25 - $49/hr,10 - 49,Lahore,Pakistan 
22,Creative Ideator,https://www.cideator.com,$25 - $49/hr,10 - 49,Karachi,Pakistan 
23,InnoTech Solution,https://www.innotechsol.co,< $25/hr,10 - 49,Karachi,Pakistan 
24,DevCrew.io,http://devcrew.io/,$25 - $49/hr,10 - 49,Lahore,Pakistan 
25,Suave Solutions,http://suavesol.net/,$100 - $149/hr,10 - 49,Lahore,Pakistan 
26,Brainiac Studio,https://www.brainiac.studio,NA,2 - 9,Karachi,Pakistan 
27,Graphiters,http://graphiters.com/,$25 - $49/hr,50 - 249,Islamabad,Pakistan 
28,The Right Software,https://therightsw.com/,< $25/hr,10 - 49,Islamabad,Pakistan 
29,Unicorn Technologies,https://www.unicorntechno.com,< $25/hr,10 - 49,Islamabad,Pakistan 
30,Punjani Inc.,http://www.punjani-inc.ml,$50 - $99/hr,10 - 49,Karachi,Pakistan 
31,Icreativez Technologies,https://www.icreativez.com/,< $25/hr,10 - 49,Karachi,Pakistan 
32,WAMPDO,https://www.wampdo.com,$25 - $49/hr,2 - 9,Faisalabad,Pakistan 
33,Dynamologic Solutions,http://www.dynamologic.com,$25 - $49/hr,50 - 249,Islamabad,Pakistan 
34,likeitsolutions,https://likeitsolutions.com/,$25 - $49/hr,10 - 49,Karachi,Pakistan 
35,MSN Global IT Solutions,https://msn-global.com,NA,50 - 249,Lahore,Pakistan 
36,Codility Solutions,https://www.codility.co/,< $25/hr,10 - 49,Lahore,Pakistan 
37,Devdap,https://devdap.com,< $25/hr,Freelancer,Rawalpindi,Pakistan 
38,Shinersoft,http://www.shinersoft.com,$25 - $49/hr,10 - 49,Karachi,Pakistan 
39,Courioo Technologies,http://www.couriootechnologies.com/,NA,10 - 49,Lahore,Pakistan 
40,Rolustech,https://www.rolustech.com,NA,50 - 249,Lahore,Pakistan 
41,ASP.Net Zero Developers,http://www.aspnetzerodevelopers.com,< $25/hr,10 - 49,Lahore,Pakistan 
42,Hello world technologies,https://hwryk.com,$100 - $149/hr,10 - 49,Rahim Yar Khan,Pakistan 
43,Code Sappers,https://codesappers.com,$25 - $49/hr,2 - 9,Lahore,Pakistan 
44,Pikes Soft,http://www.pikessoft.com/,< $25/hr,10 - 49,Lahore,Pakistan 
45,Ignitive Tech,https://ignitive-tech.com/,$25 - $49/hr,10 - 49,Lahore,Pakistan 
46,Team Target,https://teamtarget.dev,< $25/hr,2 - 9,Lahore,Pakistan 
47,InvoZone,https://invozone.com,NA,10 - 49,Lahore,Pakistan 
48,Vaival Techonology,https://vaival.com/,$25 - $49/hr,50 - 249,Lahore,Pakistan 
49,MMC Global,https://mmcgbl.com/,$25 - $49/hr,50 - 249,Karachi,Pakistan 
